Date Released,Song Title,Artist(s),Target(s),Year Released,lyrics
22-Mar-24,"""Like That""","Metro Boomin, Future, Kendrick Lamar","Drake, J. Cole",2024,
5-Apr-24,"""7 Minute Drill""",J. Cole,Kendrick Lamar,2024,"Yeah
Turn it up
Yeah, turn the vocal up
Uh
Light work like it's PWC

It's a cold world, keep the heat under your seat

I got a phone call, they say that somebody dissin'

You want some attention, it come with extensions

My dog like, ""Say the word,"" he on bullshit, he itchin'

Done put in so much work in these streets, he got pension

I told him chill out, how I look havin' henchman?

If shots get to poppin', I'm the one doin' the clenchin'



I came up in the 'Ville, so I'm good when it's tension

He still doin' shows, but fell off like the Simpsons

Your first shit was classic, your last shit was tragic

Your second shit put niggas to sleep, but they gassed it

Your third shit was massive and that was your prime

I was trailin' right behind and I just now hit mine

Now I'm front of the line with a comfortable lead

How ironic, soon as I got it, now he want somethin' with me

Well, he caught me at the perfect time, jump up and see

Boy, I got here off of bars, not no controversy

Funny thing about it, bitch, I don't even want the prestige

Fuck the Grammys 'cause them crackers ain't never done nothin' for me, ho

Slugs took my nigga's soul, drugs took another one

The rap beef ain't realer than the shit I seen in Cumberland

He averagin' one hard verse like every thirty months or somethin'

If he wasn't dissin', then we wouldn't be discussin' him

Lord, don't make me have to smoke this nigga 'cause I fuck with him

But push come to shove, on this mic, I will humble him

I'm Nino with this thing, this that New Jack City meme

Yeah, I'm aimin' at G-Money, cryin' tears before I bust at him



Light work like it's PWC

It's a cold world, keep the heat under your seat

I got a phone call, they say that somebody dissin'

You want some attention, it come with extensions

My dog like, ""Say the word,"" he on bullshit, he itchin'

Done put in so much work in these streets, he got pension

I told him chill out, how I look havin' henchman?

If shots get to poppin', I'm the one doin' the— (Conductor, conductor, conductor)



I got mixed feelings 'bout these fuckin' rap niggas

It's over for that cap, we official cap peelers

Two-six, we don't at niggas, we get at niggas

Shoot a nigga lights out, yeah, my dogs stat fillers

Stat stuffers, triple-double, get your ass black duffled

Body bag, body bag, body bag

Cole World your instructor for pilates class

Get a nigga stretched if I feel the disrespect, uh

Your arms might be too short to box with the god

Who live his life without the pressures of a constant facade

I pray for peace, but if a nigga cease these positive vibes

A Falcon 9 inside my pocket, bitch, this rocket gon' fly

Now it's poppin' outside like the top of July

My text flooded with the hunger for a toxic reply

I'm hesitant, I love my brother, but I'm not gonna lie

I'm powered up for real, that shit would feel like swattin' a fly

Four albums in twelve years, nigga, I can divide

Shit, if this is what you want, I'm indulgin' in violence

Put pictures in my home, aim the chrome at your eyelids

Fly pebbles at your dome, we the Stone Temple Pilots

This is merely a warning shot to back niggas down

Back in the town where they whippin' work and traffickin' pounds

My jack jumpin' 'bout a rapper makin' blasphemous sounds

Switchin' sides like the tassel on the cap and the gown

I'm fully loaded, nigga, I can drop two classics right now



Hah, let me chill out, man (Conductor)

The Fall Off on the way, nigga"
12-Apr-24,"""Tender""",Quavo,Chris Brown,2024,
"Apr 13, 2024 (leaked) Apr 19, 2024 (Official)","""Push Ups""",Drake,"Kendrick Lamar, Metro Boomin, Future, Rick Ross, The Weeknd",ial),"(Whoo Kid)
Ayy
I could never be nobody number-one fan
Your first number one, I had to put it in your hand
You pussies can't get booked outside America for nan'

I'm out in Tokyo because I'm big in Japan

I'm the hitmaker y'all depend on

Backstage in my city, it was friendzone

You won't ever take no chain off of us

How the fuck you big steppin' with a size-seven men's on?

This the bark with the bite, nigga, what's up?

I know my picture on the wall when y'all cook up

Extortion baby, whole career, you been shook up

'Cause Top told you, ""Drop and give me fifty,"" like some push-ups, huh

Your last one bricked, you really not on shit

They make excuses for you 'cause they hate to see me lit

Pull your contract 'cause we gotta see the split

The way you doin' splits, bitch, your pants might rip

You better do that motherfuckin' show inside the bity

Maroon 5 need a verse, you better make it witty

Then we need a verse for the Swifties

Top say drop, you better drop and give 'em fifty

Pipsqueak, pipe down

You ain't in no big three, SZA got you wiped down

Travis got you wiped down, Savage got you wiped down

Like your label, boy, you in a scope right now

And you gon' feel the aftermath of what I write down

I'm at the top of the mountain, so you tight now

Just to have this talk with your ass, I had to hike down

Big difference 'tween Mike then and Mike now

What the fuck is this, a twenty-v-one, nigga?

What's a prince to a king? He a son, nigga

Get more love in the city that you from, nigga

Metro, shut your ho ass up and make some drums, nigga

Yeah, I'm the 6ix God, I'm the frontrunner

Y'all nigga manager was Chubbs lil' blunt runner

Claim the 6ix and you boys ain't even come from it

And when you boys got rich, you had to run from it

Cash blowin' Abel bread, out here trickin' (Out here trickin')

Shit we do for bitches, he doin' for niggas (What the fuck?)

Jets, whips, chains, wicked, wicked, wicked (Wicked, wicked)

Spend it like you tryna fuck, boy, you trippin', boy, you trippin'

Drizzy Chip 'n Dale, probably got your bitch Chanel

I just got 'em done, boy, don't make me have to chip a nail

Rolling Loud stage, y'all were turnt, that was slick as hell

Shit'll probably change if your BM start to kiss and tell

Hugs and kisses, man, don't tell me 'bout no switches

I'll be rockin' every fuckin' chain I own next visit, ayy

I be with some bodyguards like Whitney

Top say drop, your little midget ass better fuckin'



Ayy, better drop and give me fifty, ayy

Drop and give me fifty, drop and give me fifty, ayy

Niggas really got me out here talkin' like I'm 50, ayy

Niggas really got me out here rappin' what I'm livin'



I might take your latest girl and cuff her like I'm Ricky

Can't believe he jumpin' in, this nigga turnin' fifty

Every song that made it on the chart, he got from Drizzy

Spend that lil' check you got and stay up out my business

Nigga, shout out to the hooper that be bustin' out the griddy

We know why you mad, nigga, I ain't even trippin'

All that lil' heartbroken Twitter shit for bitches

This for all the top dogs, drop and give me fifty, drop, drop

And that fuckin' song y'all got did not start the beef with us

This shit been brewin' in a pot, now I'm heatin' up

I don't care what Cole think, that Dot shit was weak as fuck

Champagne trippin', he is not fuckin' easin' up

Nigga callin' Top to see if Top wanna peace it up

""Top, wanna peace it up? Top, wanna peace it up?""

Nah, pussy, now you on your own when you speakin' up

You done rolled deep to this, it's not fuckin' deep enough

Beggin' Kai Cenat, boy, you not fuckin' beatin' us

Numbers-wise, I'm out of here, you not fuckin' creepin' up

Money-wise, I'm out of here, you not fuckin' sneakin' up

Cornball, your show money merch money fee to us

I'ma let you niggas work it out because I seen enough

This ain't even everything I know, don't wake the demon up

This ain't even everything I know, don't wake the demon up

Drop and give me fifty, all you fuck niggas teamin' up



What top five you smokin' on, Kendrick?



Mmm, mmm, yeah

Drop, drop, drop, drop

Drop a fifty bag for the mob in the spot

Drop a fifty bag, twenty-nine for the thot

Uh, I was really, really tryna keep it PG"
13-Apr-24,"""Champagne Moments""",Rick Ross,Drake,2024,"Maybach Music
Fish tanks and marble floors, livin' big and bad
Niggas laugh until they hit with my official jab
Crack smoke is the exhaust from my pen and pad
Ghostwriters, they get to floss what you could’ve had

Record label takin' a loss, are you in your bag?

You a worker wantin' to chart, don’t make me laugh

Get to mine, tell by my watch, this a different time

Livin' fine, I'm gettin' high as your shit decline

Who believes he movin' keys in his Louis V's?

Run up on you and snatch your chain, watch you bitches bleed

Feel the pain or just describe where you really ride

Either you niggas gettin' money or ready to die

B-I-G or give a fuck if you Chi-Ali

You got it and you keep it tucked if you be by me

Do the job, better known as the Charles Schwab

Double R's spread through the yard, and I swear to God



Pop a Perc’ for the feel, go and count me a mil’

Kill you niggas for free, do it all for the thrill

Niggas leakin' they records when we speakin’ directly

If we keepin' it gangster, when you see me, you check me



White boy, I see you, I see you

Yeah, check



Gettin' bullied, don't walk up on me ’cause the clip is fully

Niggas pussy, don't want to push me, I'm like, ""Really, would he?""

Like his moves, but he never had to fight in school

Always ran, another nigga had to write your grooves

Flow is copy-and-paste, Weezy gave you the juice

Another white boy at the park wanna hang with the crew

Pulitzer Prize winner switchin' up like dyed denim

Get incentives for all the killings while we ride rentals

Look me right in my face, he beginnin' to shake

Told you niggas ""Stay schemin',"" I predicted my fate

""Got more money than you,"" fuck you want me to say?

Fifty mil' for the crib, where you want me to stay?

I could shoot up the block, I got pictures to paint

Let you DM my ho, but got bitches you can't

Let you get on my songs, it was good for your face

Now, bitch nigga, it's on, ain't no room for debate



Pop a Perc' for the feel, go and count me a mil'

Kill you niggas for free, do it all for the thrill

Niggas leakin' they records when we speakin' directly

If we keepin' it gangster, when you see me, you check me



By the way, I got a lot of respect for a lot of rappers, but I got one guy

He's my favorite person to rap with on any song, his name is Rick Ross

(Maybach Music)

You ain't never want to be a nigga anyway, nigga

That's why you had an operation to make your nose smaller than your father nose, nigga

I unfollowed you, nigga, 'cause you sent the motherfuckin' cease-and-desist to French Montana, nigga

You sent the police, nigga, hated on my dog project

That wasn't the same white boy that I seen, nigga, when we were makin' them early records, nigga

When you were happy to be 'round niggas, seein' niggas holdin' them sticks, yeah

You owe motherfuckin' Stunna your life, nigga

Give Weezy some more money, nigga

Give Rap-A-Lot some more money, nigga

White boy

Yeah, biggest

It's Rozay, nigga

We can do it how you wanna do it, where you wanna do it, any time you wanna do it, I'm ready

I'm ready, white boy, huh?

I know you got your Dockers on with no underwear, white boy

Yeah, you had that surgery, that six-pack gone

That's why you wearin' that funny shit at your show, you can't hide it, nigga

White boy"
19-Apr-24,"""Weakest Link""",Chris Brown,Quavo,2024,
19-Apr-24,"""Taylor Made Freestyle""",Drake,Kendrick Lamar,2024,
21-Apr-24,"""Like That (Remix)""","Kanye West, Ty Dolla Sign, Metro Boomin, Future","Drake, J. Cole",2024,
22-Apr-24,"""Over Hoes & Bitches (feat. Takeoff)""",Quavo,Chris Brown,2024,
30-Apr-24,"""Euphoria""",Kendrick Lamar,"Drake, J. Cole",2024,"​eurt si em tuoba yas yeht gnihtyrevE
Euphoria
Them super powers gettin' neutralized, I can only watch in silence
The famous actor we once knew is lookin' paranoid and now is spiralin'
You're movin' just like a degenerate, every antic is feelin' distasteful

I calculate you're not as calculated, I can even predict your angle

Fabricatin' stories on the family front 'cause you heard Mr. Morale

A pathetic master manipulator, I can smell the tales on you now

You'rе not a rap artist, you a scam artist with the hopes of being accеpted

Tommy Hilfiger stood out, but FUBU never had been your collection

I make music that electrify 'em, you make music that pacify 'em

I can double down on that line, but spare you this time, that's random acts of kindness

Know you a master manipulator and habitual liar too

But don't tell no lie about me and I won't tell truths 'bout you





Shoo, shoo, shoo

Shoo, shoo, shoo

Bee, bee, bee, bee, bee, bee



Yeah, I'm out the way, yeah, I'm low, okay

Yeah, the island right here's remote, okay

I ain't thinkin' about no reaper

Nigga, I'm reapin' what I sow, okay

Got a Benjamin and a Jackson all in my house like I'm Joe, okay

Hellcat, made his homeboys and them type sell they soul, okay

Everybody wanna be demon 'til they get chipped by your throwaway

And I might do a show a day, once a lame, always a lame

Oh, you thought the money, the power or fame would make you go away?

Have you ever played have-you-ever? Okay, nigga, let's play

Have you ever walked your enemy down like with a poker face?

Have you ever paid five hundred thou' like to an open case?

Well, I have, and I failed at both, but I came out straight

I hate when a rapper talk about guns, then somebody die

They turn into nuns, then hop online, like ""Pray for my city""

He fakin' for likes and digital hugs

His daddy a killer, he wanna be junior, they must've forgot the shit that they done

Dementia must run in his family, but let it get shaky

I'll park his son

The very first time I shot me a Drac', the homie had told me to aim it this way

I didn't point down enough, today, I'll show you I learned from those mistakes

Somebody had told me that you got a ring, on God, I'm ready to double the wage

I'd rather do that than let a Canadian nigga make Pac turn in his grave

Cutthroat business, you got shit twisted

What is it? The braids?

I hurt your feelings? You don't wanna work with me no more? Okay

It's three G.O.A.T.s left, and I seen two of them kissin' and huggin' on stage

I love 'em to death, and in eight bars, I'll explain that phrase, huh

It's nothin' nobody can tell me, huh

I don't wanna talk on no celly, huh

You know I got language barriers, huh

It's no accent you can sell me, huh

Yeah, Cole and Aubrey know I'm a selfish nigga

The crown is heavy, huh

I pray they my real friends, if not, I'm YNW Melly

I don't like you poppin' shit at Pharrell, for him, I inherit the beef

Yeah, fuck all that pushin' P, let me see you push a T

You better off spinnin' again on him, you think about pushin' me

He's Terrence Thornton, I'm Terence Crawford, yeah, I'm whoopin' feet

We ain't gotta get personal, this a friendly fade, you should keep it that way

I know some shit about niggas that make Gunna Wunna look like a saint

This ain't been about critics, not about gimmicks, not about who the greatest

It's always been about love and hate, now let me say I'm the biggest hater

I hate the way that you walk, the way that you talk, I hate the way that you dress

I hate the way that you sneak diss, if I catch flight, it's gon' be direct

We hate the bitches you fuck, 'cause they confuse themself with real women

And notice, I said ""we,"" it's not just me, I'm what the culture feelin'

How many more fairytale stories 'bout your life 'til we had enough?

How many more Black features 'til you finally feel that you're Black enough?

I like Drake with the melodies, I don't like Drake when he act tough

You gon' make a nigga bring back Puff, let me see if Chubbs really crash somethin'

Yeah, my first one like my last one, it's a classic, you don't have one

Let your core audience stomach that, then tell 'em where you get your abs from

V12, it's a fast one, baow-baow-baow, last one

Headshot for the year, you better walk around like Daft Punk



Remember?

Ayy, Top Dawg, who the fuck they think they playin' with?

Extortion my middle name as soon as you jump off of that plane, bitch

I'm allergic to the lame shit, only you like bein' famous

Yachty can't give you no swag neither, I don't give a fuck 'bout who you hang with

I hate the way that you walk, the way that you talk, I hate the way that you dress

Surprised you wanted that feature request

You know that we got some shit to address

I even hate when you say the word ""nigga,"" but that's just me, I guess

Some shit just cringeworthy, it ain't even gotta be deep, I guess

Still love when you see success, everything with me is blessed

Keep makin' me dance, wavin' my hand, and it won't be no threat

I'm knowin' they call you The Boy, but where is a man? 'Cause I ain't seen him yet

Matter fact, I ain't even bleed him yet, can I bleed him? Bet

When I see you stand by Sexyy Red, I believe you see two bad bitches

I believe you don't like women, it's real competition, you might pop ass with 'em

Let's speak on percentage, show me your splits, I'll make sure I double back with ya

You were signed to a nigga that's signed to a nigga that said he was signed to that nigga

Try cease and desist on the ""Like That"" record?

Ho, what? You ain't like that record?

""Back To Back,"" I like that record

I'ma get back to that, for the record

Why would I call around tryna get dirt on niggas? Y'all think all my life is rap?

That's ho shit, I got a son to raise, but I can see you don't know nothin' 'bout that

Wakin' him up, know nothin' 'bout that

Then tell him to pray, know nothin' 'bout that

Then givin' him tools to walk through life like day by day, know nothin' 'bout that

Teachin' him morals, integrity, discipline, listen, man, you don't know nothin' 'bout that

Speakin' the truth and consider what God's considerin', you don't know nothin' 'bout that

Ain't twenty-v-one, it's one-v-twenty if I gotta smack niggas that write with you

Yeah, bring 'em out too, I'll clean 'em out too

Tell BEAM that he better stay right with you

Am I battlin' ghost or AI? Nigga feelin' like Joel Osteen

Funny, he was in a film called ""AI""

And my sixth sense tellin' me to off him

I'ma blick niggas all in they coffin

Yeah, OV-ho niggas is dick riders

Tell 'em run to America, they imitate heritage, they can't imitate this violence

What I learned is niggas don't like the West Coast

And I'm fine with it, I'll push the line with it

Pick a nigga off one at a time with it

We can be on a three-hour time difference

Don't speak on the family, crodie

It can get deep in the family, crodie

Talk about me and my family, crodie?

Someone gon' bleed in your family, crodie

I be at New Ho King eatin' fried rice with a dip sauce and a blammy, crodie

Tell me you're cheesin', fam

We can do this right now on the camera, crodie

Ayy, fuck y'all niggas, I don't trust y'all niggas

I wave one finger and thump y'all niggas like mmm

Field goal, punt y'all niggas, they punk y'all niggas, nobody never took my food

Whoever that's fuckin' with him, fuck you niggas, and fuck the industry too

If you take it there, I'm takin' it further

Psst, that's somethin' you don't wanna do



Ooh

We don't wanna hear you say ""nigga"" no more

We don't wanna hear you say ""nigga"" no more

Stop"
3-May-24,"""6:16 in LA""",Kendrick Lamar,Drake,2024,
3-May-24,"""Family Matters""",Drake,"Kendrick Lamar, Future, Metro Boomin, Rick Ross, The Weeknd, A$AP Rocky, Kanye West",2024,"Maybe in this song, you shouldn't start by saying
Nigga, I said it, I know that you mad
I've emptied the clip over friendlier jabs
You mentioned my seed, now deal with his dad
I gotta go bad, I gotta go bad

Mm, mm, yeah

Drop, drop, drop, drop

Drop a fifty bag for the mob in the spot

Drop a fifty bag, twenty-nine for the thot

Uh, I was really, really tryna keep it PG

I was really, really tryna keep it PG

If you had a set, they'd give your ass a DP

But you civilian gang, in real life, you PC



You know who really bang a set? My nigga YG

You know who really bang a set? My nigga Chuck T

You know who even bang a set out there is CB

And, nigga, Cole losin' sleep on this, it ain't me

You better have some paperwork or that shit fakе tea

Can't be rappin' 'bout no rattin' that we can't rеad

I mean it's true a nigga slimed me for my AP

Just like how Metro nigga slimed him for his main squeeze

Out here beggin' for attention, nigga, say please

Always rappin' like you 'bout to get the slaves freed

You just actin' like an activist, it's make-believe

Don't even go back to your hood and plant no money trees

Say you hate the girls I fuck, but what you really mean?

I been with Black and white and everything that's in between

You the Black messiah wifin' up a mixed queen

And hit vanilla cream to help out with your self-esteem

On some Bobby shit, I wanna know what Whitney need

All that puppy love was over in y'all late teens

Why you never hold your son and tell him, ""Say cheese""?

We could've left the kids out of this, don't blame me

You a dog and you know it, you just play sweet

Your baby mama captions always screamin', ""Save me""

You did her dirty all your life, you tryna make peace

I heard that one of 'em little kids might be Dave Free

Don't make it Dave Free's

'Cause if your GM is your BM secret BD

Then this is all makin' plenty fuckin' sense to me

Ayy, let that shorty breathe

Shake that ass, bitch, hands on your knees

Hands on your knees, hands on your knees

Shake that ass for Drake, now shake that ass for free

Yeah, yeah

Well, not that kind of free, I'm talkin' 'bout my nigga Dave

Your man a lil' K, we call that shit a mini Drac'

He always said I overlooked him, I was starin' straight

These bars go over Kenny head no matter what I say

I know you like to keep it short, so let me paraphrase

Knew it was smoke when Abel hit us with the serenade

Nigga said, ""Uh, uh""

Almost started reachin' for my waist



Drop, drop, drop, drop

Drop a fifty bag for the mob in the spot

Drop a fifty bag, twenty-nine for the thot

Uh, I was really, really tryna keep it—





Yeah

Let me stop playin' around, let me take this shit serious, like

Niggas is a joke, I take it serious, though

Yeah, look



If Drake shooters doing TikToks, nigga

Realest shooter in your gang, that's P's brother, y'all ain't getting shit shot, nigga

Can't listen to the stick talk in falsetto, save it for a hip-hop nigga

You don't even be at home, dog, you a souvenir-out-the-gift-shop nigga

Still mad about that one ho, we ain't even fuck, I just lip-locked with her

I get active when it's war time, I ain't even really let my dick drop, nigga

What the fuck I heard Rick drop, nigga? Talkin' somethin' 'bout a nose job, nigga

Ozempic got a side effect of jealousy and doctor never told y'all niggas

Put a nigga in the bars, let a nigga rot, kind of like your old job, nigga

House sittin' on some land, but it's out where no one even really know y'all niggas

Bitches gotta drive two hours 'fore you pay 'em just to give a blowjob, nigga

Must've snorted up a snowball

'Cause my last record deal was four hundred M's, these days, that's a low ball, nigga

Ayy

Who's next on the list?

Which one of my so-called niggas

Which one of my so-called niggas

Which one of my so-called niggas need a shell from the clip?

Always knew I had to smoke y'all niggas

​good kid, m.A.A.d city van, we'll pop the latch and let the door slide

Tears runnin' down my cheek, laughin' at you pussies dyin', it's a war cry

Weeknd music gettin' played in all the spots where boys got a little more pride

That's why all your friends dippin' to Atlanta, payin' just to find a tour guide

Abel, run your fuckin' bread, need to buy some more chains for some more guys

Let me find another street nigga I can take to the game courtside

Let me get a used Ferrari for a rapper, take the nigga on a horse ride

Anything to take the spotlight off the fact the boss is a drugged-out lil' punk sissy from the Northside

Rakim talkin' shit again

Gassed 'cause you hit my BM first, nigga, do the math, who I was hittin' then?

I ain't even know you rapped still 'cause they only talkin' 'bout your 'fit again

Probably gotta have a kid again 'fore you think of droppin' any shit again

Even when you do drop, they gon' say you should've modeled 'cause it's mid again

Smokin' Fenty 'bout it, should've put you on the first one, tryna get it in

Ask Fring if this a good idea the next time you cuddled in that bed again

She'll even tell you leave the boy alone 'fore you get your head split again

Pluto shit make me sick to my stomach, we ain't never really been through it

Leland Wayne, he a fuckin' lame, so I know he had to be an influence

These niggas had a plan and they finally found a way to rope you into it

Two separate albums dissin', I just did a Kim to it, nigga, skim through it

Me and Savage had the hoes drippin' wet at shows, almost had to swim to it

K-Dot shit is only hittin' hard when Baby Keem put his pen to it

Ross callin' me the white boy and the shit kind of got a ring to it

'Cause all these rappers wavin' white flags while the whole fuckin' club sing to it

Murder scene on your man tonight, then come to the vigil with the candlelight

Body after fuckin' body and you know Rick readin' my Miranda rights

I'm goin' on vacation now, hope next time y'all plan it right

'Cause you gotta pay for sayin' my name, guess now niggas understand the price

Nigga, what? (6ix)



Ayy

Kendrick just opened his mouth, someone go hand him a Grammy right now

Where is your uncle at? 'Cause I wanna talk to the man of the house

West Coast niggas do fades, right? Come get this ass whoopin', I'm handin' 'em out

You wanna take up for Pharrell? Then come get his legacy out of my house

A cease and desist is for hoes, can't listen to lies that come out of your mouth

You called the Tupac estate and begged 'em to sue me and get that shit down

I'm losin' perspective on beef, Boi-1da send beat and I'll kill you for fun

Your daddy got robbed by Top, you Stunna and Wayne, like father, like son

Anthony set up the plays, Kojo be chargin' you double for nothin'

They shook about what I'ma say, but textin' your phone like, ""We already won""

You tell me what I shouldn't say, but fuck it, my nigga, it's already done

We already know it's a twenty-v-one, we already know why you went number one

It's clearly because of The Boy, the honorable thing is to give me the loot

You right about ""Fuck the big three,"" it's only Big D, and there's video proof

Our sons should go play at the park, two lightskin kids, that shit would be cute

Unless you don't want to be seen with anyone that isn't Blacker than you

We get it, we got it

The blacker the berry, the sweeter the juice

We get that you like to put gin in your juice

We get that you think that you Bishop in Juice

When you put your hands on your girl, is it self-defense 'cause she bigger than you?

Your back is up against the curb, you diggin' for dirt, should be diggin' for proof

Why did you move to New York? Is it 'cause you livin' that bachelor life?

Proposed in 2015, but don't wanna make her your actual wife

I'm guessin' this wedding ain't happenin', right?

'Cause we know the girls that you actually like

Your darkest secrets are comin' to light

It's all on your face like what happened to Mike

Oh shit, it's all makin' sense, maybe I'm Prince and you actually Mike

Michael was prayin' his features would change so people believe that he's actually white

Top would make you do features for change, get on pop records and rap for the whites

And wait, you say your brother Jermaine, but you wanted him to stay out of the light

Oh shit, just follow me, right? 'Cause nothin' you sayin' could bother me, right?

I get off the plane and nothing has changed, I head to Delilah with all of my ice

Head to Delilah with all of my ice, head to Delilah with all of my ice

This shit gotta be over by now for anyone out here that's calling it, right?

You're dead

You're dead, you're dead

There's nowhere to hide, there's nowhere to hide, you know what I mean

They hired a crisis management team to clean up the fact that you beat on your queen

The picture you painted ain't what it seem, you're dead"
3-May-24,"""Buried Alive Interlude, Pt. 2""",Drake,Kendrick Lamar,2024,
3-May-24,"""Meet the Grahams""",Kendrick Lamar,Drake,2024,"Dear Adonis
I'm sorry that that man is your father, let me be honest
It takes a man to be a man, your dad is not responsive
I look at him and wish your grandpa woulda wore a condom
I'm sorry that you gotta grow up and then stand behind him
Life is hard, I know, the challenge is always gon' beat us home

Sometimes our parents make mistakes that affect us until we grown

Hey, you're a good kid that need good leadership

Let me be your mentor since your daddy don't teach you shit

Never let a man piss on your leg, son

Either you die right there or pop that man in the head, son

Never fall in the escort business, that's bad religion

Please remember, you could be a bitch even if you got bitches

Never code-switch, whether right or wrong, you're a Black man

Even if it don't benefit your goals, do some push-ups, get some discipline

Don't cut them corners like your daddy did, fuck what Ozempic did

Don't pay to play with them Brazilians, get a gym membership

Understand, no throwin' rocks and hidin' hands, that's law

Don't be ashamed 'bout who you wit', that's how he treat your moms

Don't have a kid to hide a kid to hide again, be sure

Five percent will comprehend, but ninety-five is lost

Be proud of who you are, your strength come from within

Lotta superstars that's real, but your daddy ain't one of them

And you nothing like him, you'll carry yourself as king

Can't understand me right now? Just play this when you eighteen



Dear Sandra

Your son got some habits, I hope you don't undermine them

Especially with all the girls that's hurt inside this climate

You a woman, so you know how it feels to be in alignment

With emotion, hopin' a man can see you and not be blinded

Dear Dennis, you gave birth to a master manipulator

Even usin' you to prove who he is is a huge favor

I think you should ask for more paper, and more paper

And more, uh, more paper

I'm blamin' you for all his gamblin' addictions

Psychopath intuition, the man that like to play victim

You raised a horrible fuckin' person, the nerve of you, Dennis

Sandra, sit down, what I'm about to say is heavy, now listen

Mm-mm, your son's a sick man with sick thoughts, I think niggas like him should die

Him and Weinstein should get fucked up in a cell for the rest their life

He hates Black women, hypersexualizes 'em with kinks of a nympho fetish

Grew facial hair because he understood bein' a beard just fit him better

He got sex offenders on ho-VO that he keep on a monthly allowance

A child should never be compromised and he keepin' his child around them

And we gotta raise our daughters knowin' there's predators like him lurkin'

Fuck a rap battle, he should die so all of these women can live with a purpose

I been in this industry twelve years, I'ma tell y'all one lil' secret

It's some weird shit goin' on and some of these artists be here to police it

They be streamlinin' victims all inside of they home and callin' 'em tender

Then leak videos of themselves to further push their agendas

To any woman that be playin' his music, know that you're playin' your sister

Or better, you're sellin' your niece to the weirdos, not the good ones

Katt Williams said, ""Get you the truth,"" so I'ma get mines

The Embassy 'bout to get raided too, it's only a matter of time

Ayy, LeBron, keep the family away, hey, Curry, keep the family away

To anybody that embody the love for their kids, keep the family away

They lookin' at you too if you standin' by him, keep the family away

I'm lookin' to shoot through any pervert that lives, keep the family safe



Dear baby girl

I'm sorry that your father not active inside your world

He don't commit to much but his music, yeah, that's for sure

He a narcissist, misogynist, livin' inside his songs

Try destroyin' families rather than takin' care of his own

Should be teachin' you time tables or watchin' Frozen with you

Or at your eleventh birthday singin' poems with you

Instead, he be in Turks payin' for sex and poppin' Percs, examples that you don't deserve

I wanna tell you that you're loved, you're brave, you're kind

You got a gift to change the world, and could change your father's mind

'Cause our children is the future, but he lives inside confusion

Money's always been illusion, but that's the life he's used to

His father prolly didn't claim him neither

History do repeats itself, sometimes it don't need a reason

But I would like to say it's not your fault that he's hidin' another child

Give him grace, this the reason I made Mr. Morale

So our babies like you can cope later

Give you some confidence to go through somethin', it's hope later

I never wanna hear you chase a man 'cause it's feral behavior

Sittin' in the club with sugar daddies for validation

You need to know that love is eternity and trumps all pain

I'll tell you who your father is, just play this song when it rains

Yes, he's a hitmaker, songwriter, superstar, right

And a fuckin' deadbeat that should never say ""more life""

Meet the Grahams



Dear Aubrey

I know you probably thinkin' I wanted to crash your party

But truthfully, I don't have a hatin' bone in my body

This supposed to be a good exhibition within the game

But you fucked up the moment you called out my family's name

Why you had to stoop so low to discredit some decent people?

Guess integrity is lost when the metaphors doesn't reach you

And I like to understand 'cause your house was never a home

Thirty-seven, but you showin' up as a seven-year-old

You got gamblin' problems, drinkin' problems, pill-poppin' and spendin' problems

Bad with money, whorehouse

Solicitin' women problems, therapy's a lovely start

But I suggest some ayahuasca, strip the ego from the bottom

I try to empathize with you 'cause I know that you ain't been through nothin'

Crave entitlement, but wanna be liked so bad that it's puzzlin'

No dominance, let's recap moments when you didn't fit in

No secret handshakes with your friend

No culture cachet to binge, just disrespectin' your mother

Identity's on the fence, don't know which family will love ya

The skin that you livin' in is compromised in personas

Can't channel your masculine even when standin' next to a woman

You a body shamer, you gon' hide them baby mamas, ain't ya?

You embarrassed of 'em, that's not right, that ain't how mama raised us

Take that mask off, I wanna see what's under them achievements

Why believe you? You never gave us nothin' to believe in

'Cause you lied about religious views, you lied about your surgery

You lied about your accent and your past tense, all is perjury

You lied about your ghostwriters, you lied about your crew members

They all pussy, you lied on 'em, I know they all got you in 'em

You lied about your son, you lied about your daughter, huh

You lied about them other kids that's out there hopin' that you come

You lied about the only artist that can offer you some help

Fuck a rap battle, this a long life battle with yourself"
